iter	Passed	Remaining
1470	3138	7528
1471	3140	7526
1472	3142	7524
1473	3144	7521
1474	3146	7519
1475	3148	7517
1476	3150	7515
1477	3152	7513
1478	3155	7511
1479	3157	7508
1480	3159	7506
1481	3161	7504
1482	3164	7505
1483	3166	7502
1484	3168	7500
1485	3170	7498
1486	3172	7496
1487	3175	7493
1488	3177	7491
1489	3179	7489
1490	3181	7486
1491	3183	7484
1492	3185	7481
1493	3187	7479
1494	3189	7477
1495	3191	7476
1496	3194	7474
1497	3196	7472
1498	3198	7470
1499	3200	7467
1500	3202	7465
1501	3204	7463
1502	3207	7461
1503	3209	7459
1504	3211	7457
1505	3213	7455
1506	3215	7453
1507	3217	7450
1508	3219	7448
1509	3221	7446
1510	3223	7443
1511	3225	7441
1512	3227	7439
1513	3229	7436
1514	3231	7434
1515	3233	7432
1516	3236	7429
1517	3238	7427
1518	3240	7425
1519	3242	7423
1520	3244	7420
1521	3246	7418
1522	3248	7416
1523	3250	7413
1524	3252	7411
1525	3254	7409
1526	3256	7406
1527	3258	7404
1528	3260	7402
1529	3263	7400
1530	3265	7398
1531	3267	7396
1532	3269	7393
1533	3271	7391
1534	3273	7389
1535	3275	7386
1536	3277	7384
1537	3279	7382
1538	3281	7380
1539	3283	7377
1540	3285	7375
1541	3287	7373
1542	3289	7370
1543	3291	7368
1544	3293	7366
1545	3296	7363
1546	3298	7361
1547	3300	7359
1548	3302	7356
1549	3304	7354
1550	3306	7352
1551	3308	7349
1552	3310	7347
1553	3312	7345
1554	3314	7342
1555	3316	7340
1556	3318	7338
1557	3320	7336
1558	3322	7333
1559	3324	7331
1560	3326	7329
1561	3329	7327
1562	3331	7325
1563	3333	7323
1564	3335	7320
1565	3337	7318
1566	3339	7316
1567	3341	7313
1568	3343	7311
1569	3345	7309
1570	3347	7306
1571	3349	7304
1572	3351	7302
1573	3353	7300
1574	3355	7297
1575	3358	7295
1576	3360	7293
1577	3362	7291
1578	3364	7288
1579	3366	7286
1580	3368	7284
1581	3370	7282
1582	3372	7279
1583	3374	7277
1584	3376	7275
1585	3378	7273
1586	3380	7270
1587	3382	7268
1588	3385	7266
1589	3387	7264
1590	3389	7262
1591	3391	7260
1592	3393	7258
1593	3395	7255
1594	3397	7253
1595	3400	7251
1596	3402	7249
1597	3404	7247
1598	3406	7245
1599	3408	7243
1600	3410	7241
1601	3412	7239
1602	3415	7236
1603	3417	7234
1604	3419	7232
1605	3421	7230
1606	3423	7229
1607	3425	7226
1608	3427	7224
1609	3430	7222
1610	3432	7220
1611	3434	7218
1612	3436	7215
1613	3438	7213
1614	3440	7210
1615	3442	7208
1616	3444	7206
1617	3446	7204
1618	3448	7201
1619	3450	7199
1620	3452	7197
1621	3454	7194
1622	3456	7192
1623	3458	7190
1624	3460	7188
1625	3462	7185
1626	3464	7183
1627	3466	7180
1628	3469	7178
1629	3471	7176
1630	3473	7174
1631	3475	7172
1632	3477	7169
1633	3479	7167
1634	3481	7165
1635	3483	7162
1636	3485	7160
1637	3487	7158
1638	3489	7156
1639	3491	7154
1640	3493	7151
1641	3496	7149
1642	3498	7147
1643	3500	7145
1644	3502	7142
1645	3504	7140
1646	3506	7138
1647	3508	7135
1648	3510	7133
1649	3512	7131
1650	3514	7128
1651	3516	7126
1652	3518	7124
1653	3520	7122
1654	3522	7119
1655	3524	7117
1656	3526	7115
1657	3528	7113
1658	3531	7111
1659	3533	7108
1660	3535	7106
1661	3537	7104
1662	3539	7101
1663	3541	7099
1664	3543	7097
1665	3545	7095
1666	3547	7092
1667	3549	7090
1668	3551	7088
1669	3553	7086
1670	3555	7083
1671	3557	7081
1672	3559	7079
1673	3561	7076
1674	3563	7074
1675	3565	7072
1676	3568	7070
1677	3570	7068
1678	3572	7065
1679	3574	7063
1680	3576	7061
1681	3578	7059
1682	3580	7056
1683	3582	7054
1684	3584	7052
1685	3586	7050
1686	3588	7048
1687	3590	7045
1688	3592	7043
1689	3595	7041
1690	3597	7038
1691	3599	7036
1692	3601	7034
1693	3603	7032
1694	3605	7030
1695	3608	7028
1696	3610	7026
1697	3612	7024
1698	3614	7022
1699	3616	7019
1700	3618	7017
1701	3620	7015
1702	3622	7013
1703	3624	7011
1704	3627	7009
1705	3630	7009
1706	3632	7007
1707	3634	7005
1708	3636	7003
